,,,,,Games,,Passing,,,,,Rushing,,,,Receiving,,,,,Fumbles,,Scoring,,,Fantasy,,,,,,,-additional
351,Devin Duvernay,BAL,WR,26,5,1,0,0,0,0,0,3,15,5.00,0,7,2,8,4.00,0,0,0,0,,,2,4.3,4.3,3.3,,137,,DuveDe00
352,Chase Edmonds,TAM,RB,27,2,0,0,0,0,0,0,4,20,5.00,0,0,0,0,,0,0,0,0,,,2,2.0,2.0,2.0,,104,,EdmoCh00
353,Erik Ezukanma,MIA,WR,23,2,0,0,0,0,0,0,5,22,4.40,0,1,0,0,,0,0,0,0,,,2,2.2,2.2,2.2,,140,,EzukEr00
354,D'Onta Foreman,CHI,RB,27,1,0,0,0,0,0,0,5,16,3.20,0,3,2,8,4.00,0,0,0,0,,,2,4.4,4.4,3.4,,95,,ForeDO00
355,Jake Funk,IND,RB,25,4,0,0,0,0,0,0,2,10,5.00,0,1,1,12,12.00,0,0,0,0,,,2,3.2,3.2,2.7,,101,,FunkJa00
356,Keaontay Ingram,ARI,RB,24,3,0,0,0,0,0,0,12,15,1.25,0,1,1,8,8.00,0,0,0,0,,,2,3.3,3.3,2.8,,98,,IngrKe01
357,D'Ernest Johnson,JAX,RB,27,5,0,0,0,0,0,0,6,8,1.33,0,3,3,15,5.00,0,0,0,0,,,2,5.3,5.3,3.8,,99,,JohnDE04
358,Zonovan Knight,DET,RB,22,2,0,0,0,0,0,0,3,13,4.33,0,1,1,8,8.00,0,0,0,0,,,2,3.1,3.1,2.6,,103,,KnigZo00
359,Ray-Ray McCloud,SFO,WR,27,5,1,0,0,0,0,0,0,0,,0,3,3,23,7.67,0,0,0,0,,,2,5.3,5.3,3.8,,138,,McClRa00
360,Isaiah McKenzie,IND,WR,28,5,0,0,0,0,0,0,1,4,4.00,0,5,3,16,5.33,0,0,0,0,,,2,5.0,5.0,3.5,,146,,McKeIs00
361,Ty Montgomery,NWE,WR,30,5,0,0,0,0,0,0,2,7,3.50,0,8,3,14,4.67,0,0,0,0,,,2,5.1,5.1,3.6,,142,,MontTy01
362,Zach Pascal,ARI,WR,29,5,0,0,0,0,0,0,0,0,,0,7,4,19,4.75,0,0,0,0,,,2,5.9,5.9,3.9,,148,,PascZa00
363,Sterling Shepard,NYG,WR,30,5,0,0,0,0,0,0,0,0,,0,5,3,23,7.67,0,0,0,0,,,2,5.3,5.3,3.8,,139,,ShepSt00
364,Ben Skowronek,LAR,WR,26,5,0,0,0,0,0,0,1,11,11.00,0,5,2,13,6.50,0,0,0,0,,,2,4.4,4.4,3.4,,136,,SkowBe00
365,Stone Smartt,LAC,TE,25,4,1,0,0,0,0,0,0,0,,0,2,1,24,24.00,0,0,0,0,,,2,3.4,3.4,2.9,,71,,SmarSt00
366,Equanimeous St. Brown,CHI,WR,27,2,0,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,0,0,0,,,2,3.1,3.1,2.6,,143,,St.BEq00
367,Geoff Swaim,ARI,TE,30,5,1,0,0,0,0,0,0,0,,0,3,2,22,11.00,0,0,0,0,,,2,4.2,4.2,3.2,,74,,SwaiGe00
368,Ke'Shawn Vaughn,TAM,RB,26,2,0,0,0,0,0,0,9,16,1.78,0,1,1,3,3.00,0,0,0,0,,,2,2.9,2.9,2.4,,106,,VaugKe00
369,Quez Watkins,PHI,WR,25,3,2,0,0,0,0,0,0,0,,0,5,4,21,5.25,0,0,0,0,,,2,6.1,6.1,4.1,,144,,WatkQu00
370,Trevon Wesco,TEN,TE,28,5,3,0,0,0,0,0,0,0,,0,2,1,21,21.00,0,0,0,0,,,2,3.1,3.1,2.6,,75,,WescTr00
371,Zamir White,LVR,RB,24,5,0,0,0,0,0,0,8,39,4.88,0,1,1,5,5.00,0,1,1,0,,,2,3.4,4.4,2.9,,96,,WhitZa01
372,Mitchell Wilcox,CIN,TE,27,5,0,0,0,0,0,0,0,0,,0,4,3,17,5.67,0,0,0,0,,,2,4.7,4.7,3.2,,79,,WilcMi01
373,Trayveon Williams,CIN,RB,26,5,0,0,0,0,0,0,5,20,4.00,0,4,2,4,2.00,0,0,0,0,,,2,4.4,4.4,3.4,,97,,WillTr06
374,Emanuel Wilson,GNB,RB,24,3,0,0,0,0,0,0,5,11,2.20,0,1,1,6,6.00,0,1,0,0,,,2,2.7,2.7,2.2,,107,,WilsEm00
375,Jameis Winston,NOR,QB,29,3,0,10,17,101,0,1,3,-4,-1.33,0,0,0,0,,0,0,0,0,,,2,1.6,2.6,2.6,,40,,WinsJa00
376,Miles Boykin,PIT,WR,27,5,0,0,0,0,0,0,0,0,,0,2,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,159,,BoykMi00
377,Kenyan Drake,BAL,RB,29,2,0,0,0,0,0,0,1,0,0.00,0,3,2,31,15.50,0,1,1,0,,,1,3.1,4.1,2.1,,112,,DrakKe00
378,Chris Evans,CIN,RB,26,3,0,0,0,0,0,0,2,12,6.00,0,1,1,-1,-1.00,0,0,0,0,,,1,2.1,2.1,1.6,,113,,EvanCh02
379,C.J. Ham,MIN,RB,30,5,2,0,0,0,0,0,0,0,,0,4,3,14,4.67,0,0,0,0,,,1,4.4,4.4,2.9,,108,,HamxC.00
380,Mecole Hardman,NYJ,WR,25,4,0,0,0,0,0,0,0,0,,0,1,1,6,6.00,0,0,0,0,,,1,1.6,1.6,1.1,,158,,HardMe00
381,Evan Hull,IND,RB,23,1,0,0,0,0,0,0,1,1,1.00,0,1,1,6,6.00,0,0,0,0,,,1,1.7,1.7,1.2,,115,,HullEv00
382,Tyler Huntley,BAL,QB,25,1,0,0,0,0,0,0,2,8,4.00,0,0,0,0,,0,0,0,0,,,1,0.8,0.8,0.8,,42,,HuntTy01
383,Xavier Hutchinson,HOU,WR,23,5,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,154,,HutcXa00
384,Andrei Iosivas,CIN,WR,24,5,0,0,0,0,0,0,0,0,,0,2,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,155,,IosiAn00
385,Rakim Jarrett,TAM,WR,22,4,0,0,0,0,0,0,1,0,0.00,0,2,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,149,,JarrRa00
386,Jakob Johnson,LVR,RB,29,5,2,0,0,0,0,0,0,0,,0,2,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,111,,JohnJa12
387,Marvin Jones,DET,WR,33,5,4,0,0,0,0,0,0,0,,0,9,4,30,7.50,0,1,1,0,,,1,5.0,6.0,3.0,,150,,JoneMa02
388,Tim Jones,JAX,WR,25,5,1,0,0,0,0,0,0,0,,0,5,3,10,3.33,0,0,0,0,,,1,4.0,4.0,2.5,,151,,JoneTi00
389,Velus Jones Jr.,CHI,WR,26,4,0,0,0,0,0,0,2,7,3.50,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,157,,JoneVe00
390,Tucker Kraft,GNB,TE,23,5,0,0,0,0,0,0,0,0,,0,2,2,5,2.50,0,0,0,0,,,1,2.5,2.5,1.5,,88,,KrafTu00
391,Marcedes Lewis,CHI,TE,39,5,1,0,0,0,0,0,0,0,,0,1,1,8,8.00,0,0,0,0,,,1,1.8,1.8,1.3,,85,,LewiMa00
392,Chris Manhertz,DEN,TE,31,5,1,0,0,0,0,0,0,0,,0,2,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,82,,ManhCh00
393,Anthony McFarland Jr.,PIT,RB,24,2,0,0,0,0,0,0,0,0,,0,2,2,11,5.50,0,0,0,0,,,1,3.1,3.1,2.1,,114,,McFaAn00
394,Scott Miller,ATL,WR,26,5,0,0,0,0,0,0,0,0,,0,2,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,152,,MillSc01
395,Johnny Mundt,MIN,TE,29,5,0,0,0,0,0,0,0,0,,0,1,1,11,11.00,0,0,0,0,,,1,2.1,2.1,1.6,,81,,MundJo00
396,Cordarrelle Patterson,ATL,RB,32,2,0,0,0,0,0,0,0,0,,0,1,1,7,7.00,0,0,0,0,,,1,1.7,1.7,1.2,,116,,PattCo00
397,Rashaad Penny,PHI,RB,27,1,0,0,0,0,0,0,3,9,3.00,0,1,1,5,5.00,0,0,0,0,,,1,2.4,2.4,1.9,,109,,PennRa00
398,Patrick Ricard,BAL,RB,29,5,2,0,0,0,0,0,0,0,,0,1,1,14,14.00,0,0,0,0,,,1,2.4,2.4,1.9,,110,,RicaPa00
399,Chris Rodriguez,WAS,RB,23,3,0,0,0,0,0,0,3,7,2.33,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,117,,RodrCh00
400,Cooper Rush,DAL,QB,30,3,0,4,5,28,0,0,4,-4,-1.00,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,43,,RushCo00
401,Drew Sample,CIN,TE,27,5,2,0,0,0,0,0,0,0,,0,2,2,6,3.00,0,0,0,0,,,1,2.6,2.6,1.6,,87,,SampDr00
402,Ben Sims,GNB,TE,23,5,0,0,0,0,0,0,0,0,,0,1,1,12,12.00,0,0,0,0,,,1,2.2,2.2,1.7,,80,,SimsBe00
403,Willie Snead,SFO,WR,31,1,0,0,0,0,0,0,0,0,,0,1,1,9,9.00,0,0,0,0,,,1,1.9,1.9,1.4,,156,,SneaWi00
404,Jack Stoll,PHI,TE,25,5,3,0,0,0,0,0,0,0,,0,3,2,10,5.00,0,0,0,0,,,1,3.0,3.0,2.0,,83,,StolJa00
405,Brenton Strange,JAX,TE,23,5,0,0,0,0,0,0,0,0,,0,3,2,7,3.50,0,0,0,0,,,1,2.7,2.7,1.7,,86,,StraBr00
406,Cody Thompson,SEA,WR,27,4,0,0,0,0,0,0,0,0,,0,1,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,153,,ThomCo04
407,Dorian Thompson-Robinson,CLE,QB,24,2,1,19,36,121,0,3,4,24,6.00,0,0,0,0,,0,1,0,0,,,1,1.2,4.2,4.2,,41,,ThomDo02
408,Cedric Tillman,CLE,WR,23,4,0,0,0,0,0,0,0,0,,0,3,1,5,5.00,0,0,0,0,,,1,1.5,1.5,1.0,,160,,TillCe01
409,Mitchell Trubisky,PIT,QB,29,1,0,3,5,18,0,0,0,0,,0,0,0,0,,0,0,0,0,,,1,0.7,0.7,0.7,,44,,TrubMi00
410,Darnell Washington,PIT,TE,22,5,4,0,0,0,0,0,0,0,,0,3,1,10,10.00,0,0,0,0,,,1,2.0,2.0,1.5,,84,,WashDa03
411,C.J. Beathard,JAX,QB,30,1,0,2,2,9,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,45,,BeatC.00
412,Raheem Blackshear,CAR,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,122,,BlacRa00
413,Brandon Bolden,LVR,,33,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,123,,BoldBr00
414,Lynn Bowden Jr.,NOR,,26,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,166,,BowdLy00
415,Teddy Bridgewater,DET,QB,31,1,0,0,0,0,0,0,2,-2,-1.00,0,0,0,0,,0,0,0,0,,,,-0.2,-0.2,-0.2,,51,,BridTe00
416,Chase Brown,CIN,RB,23,4,0,0,0,0,0,0,1,2,2.00,0,2,2,-1,-0.50,0,0,0,0,,,,2.1,2.1,1.1,,121,,BrowCh10
417,Jake Browning,CIN,QB,27,1,0,0,1,0,0,0,1,-1,-1.00,0,0,0,0,,0,0,0,0,,,,-0.1,-0.1,-0.1,,50,,BrowJa08
418,Jason Cabinda,DET,RB,27,3,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,0,0,0,,,,,,,,124,,CabiJa00
419,Grant Calcaterra,PHI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,90,,CalcGr00
420,Julius Chestnut,TEN,,23,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,125,,ChesJu00
421,Corey Clement,ARI,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,126,,ClemCo00
422,Sean Clifford,GNB,QB,25,1,0,0,0,0,0,0,1,0,0.00,0,0,0,0,,0,1,0,0,,,,,,,,46,,ClifSe00
423,Chris Conley,SFO,,31,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,167,,ConlCh00
424,Britain Covey,PHI,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,,,,,,,,168,,CoveBr00
425,Darrell Daniels,DET,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,91,,DaniDa02
426,Sam Darnold,SFO,QB,26,4,0,1,1,1,0,0,5,-5,-1.00,0,0,0,0,,0,0,0,0,,,,-0.5,-0.5,-0.5,,52,,DarnSa00
427,Phillip Dorsett,DEN,,30,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,169,,DorsPh00
428,Greg Dortch,ARI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,170,,DortGr01
429,Keelan Doss,LAC,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,171,,DossKe00
430,Ross Dwelley,SFO,,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,92,,DwelRo00
431,Simi Fehoko,LAC,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,172,,FehoSi00
432,Royce Freeman,LAR,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,127,,FreeRo00
433,Myles Gaskin,MIN,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,128,,GaskMy00
434,Reggie Gilliam,BUF,RB,26,5,0,0,0,0,0,0,0,0,,0,1,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,119,,GillRe00
435,Marquise Goodwin,CLE,WR,33,4,0,0,0,0,0,0,1,1,1.00,0,5,1,0,0.00,0,0,0,0,,,,1.1,1.1,0.6,,164,,GoodMa00
436,Antoine Green,DET,WR,24,4,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,161,,GreeAn00
437,Justin Hardee,NYJ,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,173,,HardJu01
438,Jacob Harris,JAX,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,93,,HarrJa03
439,N'Keal Harry,MIN,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,174,,HarrNK00
440,Jamycal Hasty,JAX,,27,2,0,0,0,0,0,0,0,0,,0,2,0,0,,0,0,0,0,,,,,,,,129,,HastJa02
441,Peyton Hendershot,DAL,TE,24,3,0,0,0,0,0,0,1,0,0.00,0,2,1,3,3.00,0,0,0,0,,,,1.3,1.3,0.8,,89,,HendPe01
442,Parker Hesse,ATL,,28,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,94,,HessPa00
443,Travis Homer,CHI,,25,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,130,,HomeTr00
444,Jesper Horsted,LVR,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,175,,HorsJe00
445,Brian Hoyer,LVR,,38,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,47,,HoyeBr00
446,Godwin Igwebuike,ATL,,29,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,131,,IgweGo00
447,Taiwan Jones,NYG,,35,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,132,,JoneTa00
448,Ko Kieft,TAM,,25,4,3,0,0,0,0,0,0,0,,0,3,0,0,,0,0,0,0,,,,,,,,95,,KiefKo00
449,Keith Kirkwood,NOR,WR,29,5,2,0,0,0,0,0,0,0,,0,4,1,1,1.00,0,0,0,0,,,,1.1,1.1,0.6,,165,,KirkKe00
450,Charlie Kolar,BAL,,24,3,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,96,,KolaCh00
451,Tyler Kroft,MIA,,31,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,97,,KrofTy00
452,Kwamie Lassiter II,CIN,WR,25,1,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,162,,LassKw00
453,Sean McKeon,DAL,,26,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,98,,McKeSe01
454,Kirk Merritt,NOR,,26,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,176,,MerrKi00
455,James Mitchell,DET,,24,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,99,,MitcJa00
456,Quintin Morris,BUF,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,100,,MorrQu00
457,Jalen Nailor,MIN,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,177,,NailJa00
458,Dare Ogunbowale,HOU,RB,29,1,0,0,0,0,0,0,2,4,2.00,0,0,0,0,,0,0,0,0,,,,0.4,0.4,0.4,,118,,OgunDa00
459,Qadree Ollison,PIT,,27,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,133,,OlliQa00
460,Matthew Orzech,GNB,,28,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,101,,OrzeMa00
461,Kyle Philips,TEN,,24,1,0,0,0,0,0,0,0,0,,0,1,0,0,,0,0,0,0,,,,,,,,178,,PhilKy01
462,Kevin Rader,TEN,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,102,,RadeKe00
463,Giovanni Ricci,CAR,RB,27,5,0,0,0,0,0,0,0,0,,0,1,1,2,2.00,0,0,0,0,,,,1.2,1.2,0.7,,120,,RiccGi00
464,Demarcus Robinson,LAR,,29,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,179,,RobiDe01
465,Aaron Rodgers,NYJ,QB,40,1,1,0,1,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,48,,RodgAa00
466,Amari Rodgers,IND,,24,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,180,,RodgAm00
467,Matthew Slater,NWE,,38,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,181,,SlatMa00
468,Ihmir Smith-Marsette,CAR,,24,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,182,,SmitIh00
469,Trent Taylor,CHI,,29,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,183,,TaylTr02
470,Laquon Treadwell,BAL,,28,2,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,184,,TreaLa00
471,Tylan Wallace,BAL,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,185,,WallTy00
472,Dwayne Washington,DEN,,29,4,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,134,,WashDw00
473,Montrell Washington,KAN,,24,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,186,,WashMo00
474,Kristian Wilkerson,LVR,,26,2,1,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,187,,WilkKr00
475,Jameson Williams,DET,WR,22,1,0,0,0,0,0,0,0,0,,0,3,2,2,1.00,0,0,0,0,,,,2.2,2.2,1.2,,163,,WillJa11
476,Malik Willis,TEN,,24,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,49,,WillMa12
477,Juwann Winfree,IND,,27,3,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,188,,WinfJu00
478,Charlie Woerner,SFO,,26,5,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,,,,,,103,,WoerCh00
479,Kyle Allen,BUF,QB,27,3,0,0,0,0,0,0,7,-7,-1.00,0,0,0,0,,0,0,0,0,,,-1,-0.7,-0.7,-0.7,,53,,AlleKy00
480,Deon Jackson,IND,RB,24,2,1,0,0,0,0,0,13,14,1.08,0,6,5,14,2.80,0,2,2,0,,,-1,3.8,5.8,1.3,,136,,JackDe02
481,Richie James,KAN,WR,28,2,0,0,0,0,0,0,0,0,,0,3,1,6,6.00,0,1,1,0,,,-1,-0.4,0.6,-0.9,,189,,JameRi00
482,Adam Prentice,NOR,RB,26,5,1,0,0,0,0,0,1,5,5.00,0,2,1,5,5.00,0,1,1,0,,,-1,,1.0,-0.5,,135,,PrenAd00
483,David Wells,TAM,TE,28,4,0,0,0,0,0,0,0,0,,0,2,2,-10,-5.00,0,1,0,0,,,-1,1.0,1.0,,,104,,WellDa00
484,Blaine Gabbert,KAN,QB,34,1,0,3,5,31,0,2,2,-1,-0.50,0,0,0,0,,0,0,0,0,,,-3,-2.9,-0.9,-0.9,,54,,GabbBl00
485,Gunner Olszewski,PIT,WR,27,2,0,0,0,0,0,0,0,0,,0,1,1,0,0.00,0,2,2,0,,,-4,-3.0,-1.0,-3.5,,190,,OlszGu00
